package,severity,version,fixed_version,description,cve_id,source
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ceph: fix memory leak in ceph_re","CVE-2022-49107"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ARM: versatile: Add missing of_n","CVE-2022-49457"
"linux-libc-dev","HIGH","4.19.194-3","4.19.232-1","A stack overflow flaw was found in the Linux kernel's TIPC protocol functionality in the way a user ","CVE-2022-0435","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: bnx2x: Fix multiple UBSAN array-","CVE-2024-42148"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: gsmi: fix null-deref in gsmi_get","CVE-2023-52893"
"gzip","HIGH","1.9-3","1.9-3+deb10u1","An arbitrary file write vulnerability was found in GNU gzip's zgrep utility. When zgrep is applied o","CVE-2022-1271","tykio/tyk-gateway","tykio/tyk-dashboard"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: KVM: arm64: Fix shift-out-of-bou","CVE-2024-50139"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: firewire: nosy: ensure user_leng","CVE-2024-27401"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","printer_write in drivers/usb/gadget/function/f_printer.c in the Linux kernel through 6.7.4 does not ","CVE-2024-25741","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: MIPS: smp: fill in sibling and c","CVE-2022-48845"
"libc6-dev","MEDIUM","2.28-10","N/A","A flaw was found in glibc. In an extremely rare situation, the getaddrinfo function may access memor","CVE-2023-4806"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ipvs: fix WARNING in __ip_vs_cle","CVE-2022-49918"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: ksmbd: fix incorrect validation ","CVE-2025-21994"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: bcache: fix variable length arra","CVE-2024-39482"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: fix NULL pointer in skb_seg","CVE-2023-52991"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/drv: Fix potential memory le","CVE-2022-49830"
"curl","HIGH","7.64.0-4+deb10u1","7.64.0-4+deb10u2","curl 7.21.0 to and including 7.73.0 is vulnerable to uncontrolled recursion due to a stack overflow ","CVE-2020-8285","tykio/tyk-dashboard"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: smb3: fix lock ordering potentia","CVE-2024-35998"
"curl","MEDIUM","7.64.0-4+deb10u2","7.64.0-4+deb10u4","An insufficiently protected credentials vulnerability exists in curl 4.9 to and include curl 7.82.0 ","CVE-2022-27774","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: accel/ivpu: Prevent recovery inv","CVE-2024-56540"
"python3.7","LOW","3.7.3-2+deb10u3","N/A","Lib/webbrowser.py in Python through 3.6.3 does not validate strings before launching the program spe","CVE-2017-17522","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.232-1","A memory leak vulnerability was found in the Linux kernel's eBPF for the Simulated networking device","CVE-2021-4135","tykio/tyk-gateway"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: net: ena: Fix error handling in ","CVE-2022-49813"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: mmc: mmc_test: Fix NULL derefere","CVE-2024-45028"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.316-1","In the Linux kernel, the following vulnerability has been resolved: wifi: nl80211: reject iftype cha","CVE-2024-27410"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: arch/arm64: Fix topology initial","CVE-2022-49090"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: tty: serial: qcom-geni-serial: f","CVE-2022-48871"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: serial: sc16is7xx: fix TX fifo c","CVE-2024-44951"
"linux-libc-dev","HIGH","4.19.194-3","4.19.232-1","In the Linux kernel, the following vulnerability has been resolved: can: pch_can: pch_can_rx_normal:","CVE-2021-47520"
"linux-libc-dev","HIGH","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: clk: clk-loongson2: Fix potentia","CVE-2024-53192"
"wheel","HIGH","0.37.0","0.38.1","An issue discovered in Python Packaging Authority (PyPA) Wheel 0.37.1 and earlier allows remote atta","CVE-2022-40898","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: drm/client: fix null pointer der","CVE-2024-43894"
"linux-libc-dev","MEDIUM","4.19.194-3","4.19.304-1","A flaw was found in the XFRM subsystem in the Linux kernel. The specific flaw exists within the proc","CVE-2023-39194","tykio/tyk-gateway"
"linux-libc-dev","MEDIUM","4.19.194-3","N/A","In the Linux kernel, the following vulnerability has been resolved: gpio: graniterapids: Fix vGPIO d","CVE-2024-56671"
